dataset,som_seed,regime,selector_seed,requested_k,selected_k,occupied_node_metaclusters,occupied_event_metaclusters,r_runtime_seconds,label_information_used_for_selection,evaluation_mode,n_total_events,n_evaluable_events,n_true_populations,n_predicted_clusters_all_events,n_predicted_clusters_evaluable,clusters_absent_from_evaluation,overclustering_ratio_evaluable,ari,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,hungarian_accuracy,matched_clusters,unmatched_evaluable_clusters,unmatched_evaluable_events,mean_population_effective_predicted_clusters,median_population_effective_predicted_clusters,mean_population_split_clusters_ge_1pct,mean_evaluable_cluster_purity,weighted_evaluable_cluster_purity,mean_cluster_effective_true_populations,mean_cluster_merge_populations_ge_1pct
Levine_32dim,6,official_fixed_k40,12345,40,40,40,40,4.17,False,multiclass_rectangular_hungarian,265627,104184,14,40,37,3,2.642857142857143,0.8182033421585114,0.8233086872463069,0.769314669756738,0.7605040361952968,0.9717540346523956,0.8185613913844737,0.876740745355889,0.8185613913844736,14,23,15048,1.6629427636915595,1.601748204782699,3.5,0.8539913508932682,0.9605601627889119,1.4413573096236572,2.135135135135135
Levine_32dim,7,official_auto_max40,12345,40,7,7,7,4.77000000000001,False,multiclass_rectangular_hungarian,265627,104184,14,7,6,1,0.42857142857142855,0.6938446945735425,0.29815083292635786,0.42340005502608724,0.3423605600526568,0.5617691138470203,0.7177205712969361,0.6182368737214389,0.7177205712969362,6,0,0,1.0492030895726956,1.0145809418246483,1.3571428571428572,0.6956852768281684,0.7177205712969362,1.82004877305355,2.6666666666666665
Levine_32dim,7,official_fixed_ktrue,12345,14,14,14,14,0.909999999999997,False,multiclass_rectangular_hungarian,265627,104184,14,14,12,2,0.8571428571428571,0.659402937649637,0.4887581620080339,0.5450720117145809,0.4717396814149887,0.7128860985591354,0.7066056208246947,0.6386686202670111,0.7066056208246948,12,0,0,1.1303399366274403,1.0430112363799005,1.6428571428571428,0.7362584938673539,0.7510078322967059,1.7967966398192126,2.5
Levine_32dim,7,official_fixed_k40,12345,40,40,40,40,4.23,False,multiclass_rectangular_hungarian,265627,104184,14,40,37,3,2.642857142857143,0.7768349944523232,0.8302145115257312,0.7556075938919925,0.7602522358946738,0.9709862181993911,0.7593200491438223,0.8362969432781973,0.7593200491438225,14,23,21559,1.7500634227204241,1.5328331436685854,3.5714285714285716,0.8711024575232731,0.9632381171773017,1.3510464809108165,2.027027027027027
Levine_32dim,8,official_auto_max40,12345,40,7,7,7,4.78,False,multiclass_rectangular_hungarian,265627,104184,14,7,6,1,0.42857142857142855,0.6933670263291216,0.29716915936222543,0.42290534734084584,0.34106352011890984,0.5625004119295767,0.7172886431697766,0.618257450426795,0.7172886431697766,6,0,0,1.0816868381989477,1.003934787058225,1.3571428571428572,0.6933947051785259,0.7172886431697766,1.8433346003977842,3.1666666666666665
Levine_32dim,8,official_fixed_ktrue,12345,14,14,14,14,1.09,False,multiclass_rectangular_hungarian,265627,104184,14,14,11,3,0.7857142857142857,0.6769039895177933,0.4094074817266878,0.48522530689577803,0.415297613976157,0.6831455757851967,0.7240939107732474,0.6473299439426278,0.7240939107732474,11,0,0,1.1166533387924578,1.0295039267460129,1.5,0.739881452198059,0.7485314443676572,1.7666574879841712,2.909090909090909
Levine_32dim,8,official_fixed_k40,12345,40,40,40,40,4.19,False,multiclass_rectangular_hungarian,265627,104184,14,40,36,4,2.5714285714285716,0.8134460506216065,0.8126028388348071,0.7729731554064557,0.7599178851112202,0.9689153392004541,0.8161329954695538,0.8703366669159129,0.8161329954695539,14,22,15034,1.6168281101465947,1.3793966742966908,3.2142857142857144,0.8635084949523534,0.9618655455732166,1.4052338064763277,2.25
Levine_32dim,9,official_auto_max40,12345,40,6,6,6,4.82000000000001,False,multiclass_rectangular_hungarian,265627,104184,14,6,5,1,0.35714285714285715,0.682350557401147,0.2576199337791274,0.3523087054150184,0.2905993372204924,0.5502874214333592,0.7059049374184135,0.6054146468499166,0.7059049374184135,5,0,0,1.0187570809700268,1.0046173087939454,1.2857142857142858,0.7213358145815566,0.7059049374184135,1.9434390268518675,3.2
Levine_32dim,9,official_fixed_ktrue,12345,14,14,14,14,1.11,False,multiclass_rectangular_hungarian,265627,104184,14,14,11,3,0.7857142857142857,0.6698256612478687,0.45934930022999165,0.5478410246730029,0.47248862693245747,0.6788740465404313,0.7175957920602011,0.6466223439485294,0.7175957920602012,11,0,0,1.1341245454578883,1.0450532481366017,1.7857142857142858,0.7452437567475187,0.7502783536819473,1.6903354608098764,2.6363636363636362
Levine_32dim,9,official_fixed_k40,12345,40,40,40,40,4.23,False,multiclass_rectangular_hungarian,265627,104184,14,40,36,4,2.5714285714285716,0.7728353537061713,0.8283910243901592,0.71751492977832,0.735277892830141,0.9718900999348344,0.7382131613299546,0.8201222000525242,0.7382131613299547,14,22,23928,1.8692924720364572,1.7300351460538623,3.5714285714285716,0.8504463859093544,0.9626526146049298,1.470568225556348,2.1944444444444446
Levine_32dim,10,official_auto_max40,12345,40,7,7,7,5.0,False,multiclass_rectangular_hungarian,265627,104184,14,7,6,1,0.42857142857142855,0.692923285532822,0.297335582124322,0.42193406573801084,0.3415255567945249,0.5602042701972872,0.7165975581663212,0.6171255646293464,0.7165975581663211,6,0,0,1.063659018755984,1.0171322629573984,1.5714285714285714,0.6937830249567513,0.7165975581663211,1.8266608361129844,2.6666666666666665
Levine_32dim,10,official_fixed_ktrue,12345,14,14,14,14,0.920000000000002,False,multiclass_rectangular_hungarian,265627,104184,14,14,12,2,0.8571428571428571,0.6736810311516253,0.4883786122471904,0.5534929198037588,0.4758694512114783,0.7409668377686698,0.72356599861783,0.6481368455424733,0.72356599861783,12,0,0,1.1216261804242422,1.0680005143567928,2.0,0.7400090997758095,0.7483778699224449,1.8365142539110233,2.5
Levine_32dim,10,official_fixed_k40,12345,40,40,40,40,4.36,False,multiclass_rectangular_hungarian,265627,104184,14,40,37,3,2.642857142857143,0.7772430339975367,0.816388829769376,0.7482836566763392,0.741986823730506,0.9721361209330264,0.7611629424863703,0.8402327592173643,0.7611629424863703,14,23,20940,1.6798714637492114,1.6249253431343296,3.9285714285714284,0.8528901800545046,0.9596867081317668,1.423964712115582,2.2162162162162162
Levine_32dim,11,official_auto_max40,12345,40,8,8,8,4.68000000000001,False,multiclass_rectangular_hungarian,265627,104184,14,8,6,2,0.42857142857142855,0.6797103566078958,0.3183269666319343,0.4181081021298491,0.35065333321129416,0.5904493799486434,0.7227117407663366,0.6351752981516076,0.7227117407663365,6,0,0,1.0610477340921982,1.003059137841519,1.2142857142857142,0.7427629221411802,0.7227117407663365,1.9623780111276303,3.0
Levine_32dim,11,official_fixed_ktrue,12345,14,14,14,14,0.900000000000006,False,multiclass_rectangular_hungarian,265627,104184,14,14,10,4,0.7142857142857143,0.6745677422956693,0.43258522766687324,0.5125094044705206,0.41892253867677104,0.7504434060676911,0.7199378023496891,0.6434946071516832,0.719937802349689,10,0,0,1.184988812401824,1.0206171314189894,1.5714285714285714,0.7659232123708494,0.743665054134992,1.5871848753096935,2.4
Levine_32dim,11,official_fixed_k40,12345,40,40,40,40,4.33,False,multiclass_rectangular_hungarian,265627,104184,14,40,35,5,2.5,0.7859667964106407,0.7520833523588315,0.7072500049509077,0.7039652487317744,0.9554949803747788,0.7906972279812639,0.8539464610526182,0.790697227981264,14,21,17475,1.6664067437812509,1.48335092009117,3.2857142857142856,0.8638011404133127,0.9597347001458957,1.3921282281520395,2.2
Levine_32dim,12,official_auto_max40,12345,40,6,6,6,4.63999999999999,False,multiclass_rectangular_hungarian,265627,104184,14,6,5,1,0.35714285714285715,0.6732612586283505,0.2577479029234832,0.3522071401206131,0.28952054336651006,0.5519676772309318,0.7019503954541965,0.6033375972659913,0.7019503954541965,5,0,0,1.01059453787689,1.0007486199828883,1.2142857142857142,0.721694128185753,0.7019503954541965,1.9867432855897746,3.2
Levine_32dim,12,official_fixed_ktrue,12345,14,14,14,14,0.930000000000007,False,multiclass_rectangular_hungarian,265627,104184,14,14,12,2,0.8571428571428571,0.660575880226906,0.43683622063609473,0.5857188588405781,0.47304314779301776,0.6097031575545059,0.7087460646548414,0.6381861639471577,0.7087460646548415,12,0,0,1.169084975004967,1.0419899272272177,1.8571428571428572,0.7634205743224752,0.7446152960147432,1.686332947698313,2.5
