dataset,k,seed,runtime_seconds,converged,n_iter,lower_bound,all_checks_passed,algorithm,label_information_used_for_regime_definition,labels_used_for_sampling_or_fit,training_size,n_total_events,n_components_occupied,target,target_events,target_prevalence,ari,selected_target_component,selected_component_size,target_tp,target_fp,target_fn,target_precision,target_recall,target_f1,target_f2,target_overlapping_components,target_effective_components,target_dominant_component_capture
Nilsson_rare,2,29,0.06666419999965,True,5,-4.925702587687273,True,sklearn_GaussianMixture_1.6.1,True,False,20000,44140,2,HSCs,358,0.0081105573176257,0.0077508173952525,0,17927,358,17569,0,0.0199698778378981,1.0,0.0391577796007656,0.0924634536907898,1,1.0,1.0
Nilsson_rare,10,0,0.6895050000021001,True,20,-0.7149873245148699,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0022331006057082,7,6180,330,5850,28,0.0533980582524271,0.9217877094972068,0.1009483022330988,0.2167630057803468,2,1.315716394683631,0.9217877094972068
Nilsson_rare,10,1,0.6311646000031033,True,18,-0.7719273679079666,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0028620637729183,6,4200,331,3869,27,0.0788095238095238,0.9245810055865922,0.1452391399736726,0.2938565340909091,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,2,0.7560709999961546,True,19,-0.7530844104512963,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0023934878501308,9,6128,331,5797,27,0.0540143603133159,0.9245810055865922,0.1020659882824545,0.2189153439153439,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,3,0.6983481999996002,True,17,-0.7153917954335335,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.001452496439702,0,6158,331,5827,27,0.0537512179278986,0.9245810055865922,0.1015960712093308,0.2180500658761528,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,4,0.7031165000007604,True,20,-0.7204650109300634,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0023834029028915,1,6100,330,5770,28,0.0540983606557377,0.9217877094972068,0.1021988231650666,0.2190653212958046,2,1.315716394683631,0.9217877094972068
Nilsson_rare,10,5,1.057421900004556,True,33,-0.678021475192439,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0026353668411145,4,4477,331,4146,27,0.0739334375698012,0.9245810055865922,0.136918304033092,0.2800812320189542,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,6,0.7328122000035364,True,21,-0.7140939079446925,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0022713553278032,2,6180,330,5850,28,0.0533980582524271,0.9217877094972068,0.1009483022330988,0.2167630057803468,2,1.315716394683631,0.9217877094972068
Nilsson_rare,10,7,0.8044466999999713,True,24,-0.7780208282035064,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0007840781798334,1,6093,330,5763,28,0.0541605120630231,0.9217877094972068,0.1023097194233452,0.2192691029900332,2,1.315716394683631,0.9217877094972068
Nilsson_rare,10,8,0.5161885999987135,True,14,-0.6975141611715945,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0041446638703932,8,4545,331,4214,27,0.0728272827282728,0.9245810055865922,0.1350193758923108,0.2768947632591601,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,9,0.6153193999998621,True,17,-0.7705160024442479,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0015142177290289,5,6124,331,5793,27,0.0540496407576747,0.9245810055865922,0.1021289725393397,0.2190312334568555,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,10,1.1777943000051891,True,37,-0.6359941927892269,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0038374692156592,3,4554,331,4223,27,0.0726833552920509,0.9245810055865922,0.134771986970684,0.276478449716004,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,11,0.6934493999942788,True,20,-0.7136982228865411,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0023416722144926,4,6183,330,5853,28,0.0533721494420184,0.9217877094972068,0.1009020027518728,0.216677609980302,2,1.315716394683631,0.9217877094972068
Nilsson_rare,10,12,0.5794014999992214,True,16,-0.7559467783031024,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0019328297746688,4,6055,331,5724,27,0.0546655656482246,0.9245810055865922,0.1032278184936847,0.2210498196874582,2,1.3066097979073197,0.9245810055865922
