dataset,algorithm,scenario,kind,nominal_fraction,seed,changed_labels,excluded_events,evaluation_mode,n_total_events,n_evaluable_events,n_true_populations,n_predicted_clusters_all_events,n_predicted_clusters_evaluable,clusters_absent_from_evaluation,overclustering_ratio_evaluable,ari,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,hungarian_accuracy,matched_clusters,unmatched_evaluable_clusters,unmatched_evaluable_events,mean_population_effective_predicted_clusters,median_population_effective_predicted_clusters,mean_population_split_clusters_ge_1pct,mean_evaluable_cluster_purity,weighted_evaluable_cluster_purity,mean_cluster_effective_true_populations,mean_cluster_merge_populations_ge_1pct,baseline_ari,baseline_macro_precision,baseline_macro_recall,baseline_macro_f1,baseline_hungarian_accuracy,delta_ari_from_baseline,delta_macro_precision_from_baseline,delta_macro_recall_from_baseline,delta_macro_f1_from_baseline,delta_hungarian_accuracy_from_baseline
Levine_32dim,X-shift,boundary_flip_10pct,boundary_flip,0.1,,7315,0,multiclass_rectangular_hungarian,104184,104184,14,168,168,0,12.0,0.4066167384224933,0.8278954129020242,0.5102752416033781,0.6207228242471083,0.9315436888145499,0.47855716808723026,0.6255940788054454,0.4785571680872303,14,154,50065,2.863200697781511,2.567515840100201,7.071428571428571,0.9074611598279109,0.9308243108346771,1.2272117514976706,1.8392857142857142,0.4663553829493051,0.8236583706632051,0.5210117010074958,0.623280544055724,0.4997408431237042,-0.059738644526811824,0.004237042238819044,-0.010736459404117715,-0.0025577198086156328,-0.021183675036473892
Levine_32dim,FlowSOM,boundary_flip_10pct,boundary_flip,0.1,,7315,0,multiclass_rectangular_hungarian,104184,104184,14,37,37,0,2.642857142857143,0.6899934572861343,0.8592814600655725,0.7623978289130314,0.787235204242971,0.9360944745947561,0.7614412961683177,0.8301395910875373,0.7614412961683176,14,23,18013,1.6690375297005686,1.5225289512732645,3.357142857142857,0.8281929009166535,0.9261210934500499,1.5749231923949778,2.7567567567567566,0.7814610675490865,0.8455226547462066,0.7646501295246101,0.7776391852647675,0.7910811640942947,-0.09146761026295225,0.013758805319365908,-0.0022523006115786615,0.009596018978203502,-0.02963986792597717
Levine_32dim,X-shift,boundary_exclude_10pct,boundary_exclude,0.1,,0,10420,multiclass_rectangular_hungarian,93764,93764,14,162,162,0,11.571428571428571,0.4785111201337115,0.8580177750714161,0.544510124462156,0.6544481366205644,0.9799198247008274,0.5093746000597243,0.6623969668219151,0.5093746000597245,14,148,44782,2.63351341037707,2.2471368819551305,5.928571428571429,0.9728808020150524,0.9839703937545327,1.063722953316242,1.228395061728395,0.4663553829493051,0.8236583706632051,0.5210117010074958,0.623280544055724,0.4997408431237042,0.012155737184406379,0.03435940440821095,0.023498423454660133,0.031167592564840474,0.009633756936020255
Levine_32dim,FlowSOM,boundary_exclude_10pct,boundary_exclude,0.1,,0,10420,multiclass_rectangular_hungarian,93764,93764,14,36,36,0,2.5714285714285716,0.8013260013780746,0.8843203936769186,0.8002485349602176,0.8179523231912883,0.9830331071640008,0.8041999061473488,0.8738947584167426,0.8041999061473487,14,22,16105,1.5530469727049312,1.3273167366146317,2.857142857142857,0.89026568825968,0.9778486412695704,1.3043485105936654,1.8333333333333333,0.7814610675490865,0.8455226547462066,0.7646501295246101,0.7776391852647675,0.7910811640942947,0.01986493382898813,0.038797738930712034,0.03559840543560755,0.0403131379265208,0.013118742053053967
Samusik_01,X-shift,baseline,unchanged,0.0,,0,0,multiclass_rectangular_hungarian,53173,53173,24,27,27,0,1.125,0.8808705049221943,0.7632917615496467,0.6472628709039906,0.6619947969726269,0.9185400099439066,0.9110262727324019,0.9028027249511736,0.9110262727324018,24,3,258,1.5304521980241368,1.334064086855098,3.5416666666666665,0.8710293512085047,0.919902958268294,1.3466614888733301,2.740740740740741,0.8808705049221943,0.7632917615496467,0.6472628709039906,0.6619947969726269,0.9110262727324018,0.0,0.0,0.0,0.0,0.0
Samusik_01,FlowSOM,baseline,unchanged,0.0,,0,0,multiclass_rectangular_hungarian,53173,53173,24,40,40,0,1.6666666666666667,0.8064285104298218,0.7685993439835638,0.6878498620729555,0.692603910816579,0.9603851738898628,0.7950651646512328,0.8561007629168202,0.7950651646512328,24,16,6906,1.972812586385625,1.6231033984338108,4.5,0.8277989687468661,0.9427152878340511,1.5215760911256306,3.325,0.8064285104298218,0.7685993439835638,0.6878498620729555,0.692603910816579,0.7950651646512328,0.0,0.0,0.0,0.0,0.0
Samusik_01,X-shift,boundary_flip_01pct,boundary_flip,0.01,,534,0,multiclass_rectangular_hungarian,53173,53173,24,27,27,0,1.125,0.8837533011188579,0.7688514614272212,0.64922016064137,0.6661686132836213,0.9189890268395284,0.9121170518872361,0.9037598778528764,0.912117051887236,24,3,258,1.4928895983931376,1.3014967389164211,3.3333333333333335,0.8766262212481658,0.9209937374231283,1.3263448718054434,2.5555555555555554,0.8808705049221943,0.7632917615496467,0.6472628709039906,0.6619947969726269,0.9110262727324018,0.0028827961966635396,0.005559699877574431,0.0019572897373794085,0.004173816310994449,0.0010907791548342427
Samusik_01,FlowSOM,boundary_flip_01pct,boundary_flip,0.01,,534,0,multiclass_rectangular_hungarian,53173,53173,24,40,40,0,1.6666666666666667,0.8078216934904302,0.7779795840504108,0.6975108573554557,0.6991545340789926,0.9623132250855142,0.7963816222518948,0.8574570686237506,0.7963816222518948,24,16,7058,1.928751615487995,1.6151271352987393,4.375,0.8284763672133584,0.9439941323604085,1.5147312414279135,3.2,0.8064285104298218,0.7685993439835638,0.6878498620729555,0.692603910816579,0.7950651646512328,0.0013931830606084272,0.009380240066847012,0.009660995282500195,0.006550623262413624,0.0013164576006620132
Samusik_01,X-shift,boundary_exclude_01pct,boundary_exclude,0.01,,0,534,multiclass_rectangular_hungarian,52639,52639,24,27,27,0,1.125,0.8925107372524929,0.7714384494511073,0.6511561503836983,0.6682001431967363,0.9230423506331434,0.9160508368320067,0.9077662268375498,0.9160508368320067,24,3,255,1.4759882448903205,1.299358021441739,3.3333333333333335,0.8792148140753452,0.9249415832367636,1.320648520051777,2.4444444444444446,0.8808705049221943,0.7632917615496467,0.6472628709039906,0.6619947969726269,0.9110262727324018,0.011640232330298539,0.008146687901460559,0.0038932794797077452,0.006205346224109398,0.0050245640996049445
Samusik_01,FlowSOM,boundary_exclude_01pct,boundary_exclude,0.01,,0,534,multiclass_rectangular_hungarian,52639,52639,24,40,40,0,1.6666666666666667,0.8168447399870186,0.7798253554600324,0.6999767676007685,0.7011653977811402,0.9652158509801643,0.8005661201770551,0.8612039982735591,0.8005661201770551,24,16,6889,1.9036566649913507,1.5982179216381618,4.166666666666667,0.8389640961214792,0.9484792644237162,1.474922007502029,3.0,0.8064285104298218,0.7685993439835638,0.6878498620729555,0.692603910816579,0.7950651646512328,0.010416229557196788,0.011226011476468623,0.012126905527813037,0.00856148696456116,0.005500955525822304
Samusik_01,X-shift,boundary_flip_05pct,boundary_flip,0.05,,2578,0,multiclass_rectangular_hungarian,53173,53173,24,27,27,0,1.125,0.856704818356311,0.7679228115190607,0.652349777556516,0.6681297436640693,0.9055688323993432,0.9006638707614767,0.8916465653651835,0.9006638707614767,24,3,407,1.5049633527000534,1.2821764935370445,3.25,0.864065655857938,0.909183232091475,1.358745916638891,2.814814814814815,0.8808705049221943,0.7632917615496467,0.6472628709039906,0.6619947969726269,0.9110262727324018,-0.02416568656588336,0.004631049969413992,0.005086906652525425,0.006134946691442433,-0.010362401970925084
Samusik_01,FlowSOM,boundary_flip_05pct,boundary_flip,0.05,,2578,0,multiclass_rectangular_hungarian,53173,53173,24,40,40,0,1.6666666666666667,0.7695811944830531,0.7758017831483565,0.6975687623491132,0.6987585425703703,0.9459060225941238,0.7829349481879901,0.8416957878948178,0.7829349481879901,24,16,7058,1.995189572618294,1.5710456412249234,4.208333333333333,0.8121048572208152,0.9279333496323322,1.5647981263279334,3.425,0.8064285104298218,0.7685993439835638,0.6878498620729555,0.692603910816579,0.7950651646512328,-0.03684731594676871,0.007202439164792684,0.009718900276157738,0.006154631753791273,-0.012130216463242638
Samusik_01,X-shift,boundary_exclude_05pct,boundary_exclude,0.05,,0,2659,multiclass_rectangular_hungarian,50514,50514,24,27,27,0,1.125,0.921359925741026,0.7812558855452942,0.6646231386994247,0.6807225117668451,0.933471531112068,0.9283366987369837,0.9198233726595981,0.9283366987369838,24,3,214,1.418859142352466,1.2901487320113287,3.0416666666666665,0.8923121290980242,0.9368293938314131,1.281819537001486,2.4074074074074074,0.8808705049221943,0.7632917615496467,0.6472628709039906,0.6619947969726269,0.9110262727324018,0.04048942081883167,0.017964123995647507,0.017360267795434092,0.018727714794218198,0.01731042600458199
Samusik_01,FlowSOM,boundary_exclude_05pct,boundary_exclude,0.05,,0,2659,multiclass_rectangular_hungarian,50514,50514,24,40,40,0,1.6666666666666667,0.8362656598826759,0.7917358755797922,0.7148757476211326,0.7155937605662559,0.9727708951019114,0.8121510868274141,0.8714790977285977,0.8121510868274142,24,16,6370,1.835033402153062,1.5434105161990803,4.0,0.8531319844755185,0.9598923070831848,1.4130071890403213,2.8,0.8064285104298218,0.7685993439835638,0.6878498620729555,0.692603910816579,0.7950651646512328,0.029837149452854095,0.023136531596228416,0.027025885548177087,0.022989849749676883,0.017085922176181434
Samusik_01,X-shift,boundary_flip_10pct,boundary_flip,0.1,,5016,0,multiclass_rectangular_hungarian,53173,53173,24,27,27,0,1.125,0.7868481111908632,0.7552936204668971,0.648264188685348,0.6587855507879703,0.8765767067690919,0.8731687134447934,0.8636790120114455,0.8731687134447934,24,3,407,1.5035848225053374,1.2914901802836387,3.0,0.8403362221049199,0.8812367178831362,1.4273537290643075,3.037037037037037,0.8808705049221943,0.7632917615496467,0.6472628709039906,0.6619947969726269,0.9110262727324018,-0.09402239373133114,-0.007998141082749655,0.0010013177813573693,-0.0032092461846565667,-0.03785755928760837
Samusik_01,FlowSOM,boundary_flip_10pct,boundary_flip,0.1,,5016,0,multiclass_rectangular_hungarian,53173,53173,24,40,40,0,1.6666666666666667,0.6991067328906261,0.7624780406311723,0.6944698735315216,0.6926584607560525,0.9132659961551476,0.7559663739115716,0.8110501931390566,0.7559663739115716,24,16,7058,2.0142598613763467,1.526830885820139,4.166666666666667,0.7887918470227442,0.8954544599702857,1.6383584315336548,3.65,0.8064285104298218,0.7685993439835638,0.6878498620729555,0.692603910816579,0.7950651646512328,-0.1073217775391957,-0.006121303352391472,0.006620011458566055,5.454993947351383e-05,-0.03909879073966116
Samusik_01,X-shift,boundary_exclude_10pct,boundary_exclude,0.1,,0,5320,multiclass_rectangular_hungarian,47853,47853,24,27,27,0,1.125,0.93647538346672,0.7943876612107402,0.6761989633721649,0.6908941800930769,0.9406064631329294,0.9360750632144275,0.9275446474679607,0.9360750632144276,24,3,179,1.373441705222575,1.247063553795686,2.7916666666666665,0.9082325683849896,0.9442250224646312,1.2178032395960967,2.074074074074074,0.8808705049221943,0.7632917615496467,0.6472628709039906,0.6619947969726269,0.9110262727324018,0.05560487854452567,0.031095899661093496,0.0289360924681743,0.02889938312045004,0.025048790482025796
Samusik_01,FlowSOM,boundary_exclude_10pct,boundary_exclude,0.1,,0,5320,multiclass_rectangular_hungarian,47853,47853,24,40,40,0,1.6666666666666667,0.8465373471888251,0.8102181369985618,0.6949793061608904,0.7254568762122,0.9648992547445727,0.8199276952333188,0.876159389138371,0.8199276952333187,24,16,7234,1.7727248909503743,1.525381253806073,3.7083333333333335,0.8652419978108362,0.9659373498004304,1.3649895867499404,2.55,0.8064285104298218,0.7685993439835638,0.6878498620729555,0.692603910816579,0.7950651646512328,0.04010883675900334,0.041618793014998046,0.007129444087934922,0.03285296539562099,0.024862530582085873
