dataset,endpoint,n_runs,mean,sd,median,mad_unscaled,q1,q3,iqr,min,max,range,bootstrap_mean_ci95_low,bootstrap_mean_ci95_high,bootstrap_replicates
Levine_32dim,mean_population_effective_predicted_clusters,30,1.5494800802091888,0.03664615459136457,1.5491780995430708,0.02706455165470323,1.5245634757788817,1.577270569685148,0.052707093906266156,1.462880476334019,1.6092358468946322,0.1463553705606131,1.5367697736352575,1.5622661073322566,10000
Levine_32dim,weighted_evaluable_cluster_purity,30,0.9456266477258184,0.0014719687220621006,0.9455818551792982,0.0007534746218230137,0.9449675573984488,0.9463857214159563,0.001418164017507495,0.9413249635260692,0.9486773400906088,0.0073523765645395756,0.9450916887429931,0.9461302519260795,10000
Levine_32dim,mean_cluster_effective_true_populations,30,1.354404866374026,0.04054716610211798,1.3446500278201745,0.023078866850601454,1.3252239549319702,1.3711726789746181,0.04594872404264794,1.296044079203842,1.4597335698668796,0.16368949066303773,1.3403859381294392,1.3692572407435433,10000
Samusik_01,ari,30,0.829144965252063,0.012977134336918146,0.830085815155421,0.008127694421367238,0.8200088285840041,0.8361691421889753,0.016160313604971166,0.8056901774421381,0.8564358257330758,0.05074564829093764,0.8245889062445645,0.8336687250739323,10000
Samusik_01,macro_precision,30,0.6561634910841048,0.01757727491150356,0.6594667332743377,0.012434394237412882,0.6448304219968557,0.670402613614764,0.025572191617908357,0.6086160136110087,0.6797726114495198,0.07115659783851114,0.6497037347959175,0.6622091850294913,10000
Samusik_01,macro_recall,30,0.6989123868287541,0.012777104332099783,0.7000351830866818,0.00912925814139498,0.6907622991205814,0.7085929965753552,0.017830697454773836,0.6655425351201091,0.7191794952031764,0.05363696008306729,0.6942956834061956,0.7033332848553331,10000
Samusik_01,macro_f1,30,0.6517571838339781,0.015331617227060501,0.6557881508569926,0.0071728553229098435,0.6437717344911802,0.6608872084365487,0.017115473945368498,0.6129492797737043,0.672830543146981,0.059881263373276705,0.6461737115946488,0.6568925093416498,10000
Samusik_01,weighted_f1,30,0.8805536391039753,0.009836990267183633,0.8801741819442725,0.004803686947569441,0.8759628140905862,0.8851134482853573,0.009150634194771134,0.8572899340931892,0.901828152980414,0.044538218887224756,0.877101460039349,0.8840138973145077,10000
Samusik_01,hungarian_accuracy,30,0.8526840062939212,0.013122507848958425,0.8543621762924792,0.008340699227051274,0.8449730126191864,0.859910104752412,0.014937092133225582,0.8281646700393057,0.882365110112275,0.054200440072969314,0.8481321974184894,0.8572345770723236,10000
Samusik_01,quality_q,30,0.8884475666666667,0.0004830409194727265,0.888487,0.0003614999999999591,0.8880675,0.88876975,0.0007022500000000154,0.887319,0.889499,0.0021800000000000708,0.8882808316666664,0.8886134683333331,10000
Samusik_01,n_valid_communities,30,24.166666666666668,0.5306686305052324,24.0,0.0,24.0,24.0,0.0,23.0,25.0,2.0,24.0,24.366666666666667,10000
Samusik_01,overclustering_ratio_evaluable,30,1.0069444444444446,0.022111192937718037,1.0,0.0,1.0,1.0,0.0,0.9583333333333334,1.0416666666666667,0.08333333333333337,1.0,1.015277777777778,10000
Samusik_01,mean_population_effective_predicted_clusters,30,1.4892254193999788,0.05936321082394825,1.492590164305434,0.05237259945420192,1.4303452532054342,1.5421824515773843,0.11183719837195016,1.3995499001968918,1.5998781522314989,0.20032825203460702,1.4683058434702412,1.5104639787309697,10000
Samusik_01,weighted_evaluable_cluster_purity,30,0.9244177809539929,0.005295623347630947,0.9264946495401801,0.003084272092979512,0.9198089255825326,0.9286150866041035,0.008806161021570946,0.9155962612604142,0.93246572508604,0.01686946382562582,0.9224794538581611,0.9262571229759464,10000
Samusik_01,mean_cluster_effective_true_populations,30,1.598383606186304,0.06040266454644682,1.5769649348425827,0.034676581593083844,1.5577536577373547,1.6601495561839767,0.102395898446622,1.5131414578366715,1.7140246008171702,0.2008831429804987,1.5778746767906036,1.6204192161240967,10000
