source_run,run_name,repeat,runtime_seconds,all_checks_passed,dataset,algorithm,seed_control,k_neighbors,evaluation_scope,n_valid_communities,outlier_events,outlier_fraction,quality_q,evaluation_mode,n_total_events,n_evaluable_events,n_true_populations,n_predicted_clusters_all_events,n_predicted_clusters_evaluable,clusters_absent_from_evaluation,overclustering_ratio_evaluable,ari,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,hungarian_accuracy,matched_clusters,unmatched_evaluable_clusters,unmatched_evaluable_events,mean_population_effective_predicted_clusters,median_population_effective_predicted_clusters,mean_population_split_clusters_ge_1pct,mean_evaluable_cluster_purity,weighted_evaluable_cluster_purity,mean_cluster_effective_true_populations,mean_cluster_merge_populations_ge_1pct
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat014,14,551.4432024999987,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,26,0,0.0,0.885237,multiclass_rectangular_hungarian,167044,81747,24,26,24,2,1.0,0.8756751200363266,0.4478995614747272,0.5107088396676202,0.4591395589236809,0.8677412903723767,0.8853413580926517,0.870190881346579,0.8853413580926517,24,0,0,1.5819615880963005,1.1759244306095633,3.1666666666666665,0.6857873609052572,0.8887176287814843,2.2439316444356425,4.125
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat015,15,281.9243978000013,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,25,0,0.0,0.883955,multiclass_rectangular_hungarian,167044,81747,24,25,24,1,1.0,0.874196619966309,0.4508198249540857,0.5114709409846002,0.4620716714164137,0.8686073225327953,0.8849132078241402,0.8710344699338926,0.8849132078241403,24,0,0,1.5568558704743676,1.1577760968939872,3.1666666666666665,0.6870727675304097,0.8875555066240963,2.2347031726472566,4.125
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat016,16,356.92945340000006,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,24,0,0.0,0.884932,multiclass_rectangular_hungarian,167044,81747,24,24,23,1,0.9583333333333334,0.8832426876911309,0.4541840042542138,0.5232427397872956,0.4668636019383321,0.8654970209506203,0.8911519688795918,0.8713541738847878,0.8911519688795919,23,0,0,1.5752715401348478,1.1843557442101371,3.0416666666666665,0.6669497482526276,0.8933905831406657,2.261661215868034,4.260869565217392
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat017,17,294.4817484000014,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,25,0,0.0,0.884154,multiclass_rectangular_hungarian,167044,81747,24,25,25,0,1.0416666666666667,0.8814945724617427,0.472152416624758,0.5231417096318401,0.4654893834973924,0.8724434993626476,0.8898308194796138,0.8725663601508288,0.889830819479614,24,1,42,1.5621426850452924,1.1540952974151355,3.083333333333333,0.7083520342454821,0.8913843933110696,2.170945603597612,3.84
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat018,18,297.36646270000347,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,26,0,0.0,0.884422,multiclass_rectangular_hungarian,167044,81747,24,26,24,2,1.0,0.8687108981902313,0.4748535396498671,0.5208696970877292,0.4621586349767497,0.8639029367413088,0.8834819626408309,0.8640785314506713,0.8834819626408309,24,0,0,1.5979313018981174,1.1772429169471552,3.0416666666666665,0.7152229098630986,0.8852434951741348,2.153085235647008,3.875
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat019,19,239.0461834000016,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,25,0,0.0,0.883871,multiclass_rectangular_hungarian,167044,81747,24,25,24,1,1.0,0.8652910087678417,0.4782561627776368,0.5243720917310981,0.4653471890767144,0.866081344731704,0.8822464432945553,0.8632821619176148,0.8822464432945551,24,0,0,1.5726776623070815,1.16826718151909,3.0,0.7003665276737662,0.8849009749593257,2.109514347631937,3.875
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat020,20,256.140350499998,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,24,0,0.0,0.884474,multiclass_rectangular_hungarian,167044,81747,24,24,24,0,1.0,0.8786396481874762,0.4516402779541347,0.5215404364957923,0.4638277950305287,0.868021375951582,0.8884362728907482,0.8713164898867963,0.8884362728907483,24,0,0,1.5568071770185063,1.172315526044042,2.958333333333333,0.7040907407704511,0.8902589697481254,2.137192383840983,3.875
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat021,21,285.83578589999524,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,25,0,0.0,0.883669,multiclass_rectangular_hungarian,167044,81747,24,25,24,1,1.0,0.8668066101688626,0.448573982864332,0.521736922690108,0.4624831533696147,0.8620882056750723,0.8828458536704711,0.8652561249168897,0.8828458536704711,24,0,0,1.5829647385484449,1.179467195121651,3.0416666666666665,0.6607972819229333,0.8842526331241514,2.318743974913437,4.208333333333333
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat022,22,280.4218084999957,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,26,0,0.0,0.886184,multiclass_rectangular_hungarian,167044,81747,24,26,25,1,1.0416666666666667,0.8723496976546204,0.4504038092908444,0.5209493706110407,0.4632752281777327,0.8636518426998159,0.8838489485852692,0.8669026398792863,0.8838489485852692,24,1,3,1.5900354669148211,1.1886333946003251,3.083333333333333,0.7108726258047171,0.8886442315925966,2.0842011191916514,3.96
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat023,23,256.5921834000037,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,26,0,0.0,0.884467,multiclass_rectangular_hungarian,167044,81747,24,26,25,1,1.0416666666666667,0.8797869554909865,0.4521679558919988,0.5213675546196307,0.4649552779860437,0.8667051125194615,0.889011217537035,0.8710662593796228,0.889011217537035,24,1,2,1.5874438932961443,1.141852029822341,3.083333333333333,0.6990253166401915,0.8930235971962274,2.1924032694977287,3.88
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat024,24,303.4673877999958,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,24,0,0.0,0.884308,multiclass_rectangular_hungarian,167044,81747,24,24,23,1,0.9583333333333334,0.8740111018486605,0.4629102411279248,0.5224559925403204,0.4644428382504082,0.8673450111079142,0.8858429055500507,0.8684859767678055,0.8858429055500507,23,0,0,1.5699411872521492,1.1807536532342735,3.083333333333333,0.6895055861591782,0.8877634653259446,2.2212775715122666,4.217391304347826
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat025,25,234.97316309999587,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,25,0,0.0,0.8834,multiclass_rectangular_hungarian,167044,81747,24,25,24,1,1.0,0.8728589172192138,0.4547922910859118,0.5232950729514322,0.468161915756107,0.8637942203213794,0.8871273563555848,0.8688549072089287,0.8871273563555849,24,0,0,1.5805378400720744,1.1590135649547304,3.0,0.6973355595086566,0.8888154917000012,2.178609330439638,4.125
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat026,26,350.7085498000015,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,25,0,0.0,0.885223,multiclass_rectangular_hungarian,167044,81747,24,25,24,1,1.0,0.8673357476428057,0.4571731939020793,0.5224843606972898,0.4586134793152909,0.8660771518642154,0.8804115135723634,0.8635008292052362,0.8804115135723635,24,0,0,1.566149450136878,1.1683536538256392,3.1666666666666665,0.6824260870706552,0.8838000171260108,2.1547020486049635,4.0
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat027,27,296.1299478000001,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,26,0,0.0,0.883787,multiclass_rectangular_hungarian,167044,81747,24,26,24,2,1.0,0.8660971572666556,0.4664907815722219,0.5216094994462719,0.4635047949808654,0.8646506697678528,0.8834941955056456,0.8656439528339307,0.8834941955056455,24,0,0,1.573592770894038,1.1981035375872435,3.0416666666666665,0.68914783219735,0.8845584547445167,2.199420207080173,4.041666666666667
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat028,28,292.1594507000045,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,25,0,0.0,0.884566,multiclass_rectangular_hungarian,167044,81747,24,25,23,2,0.9583333333333334,0.8806594419874314,0.4614646409498735,0.5206519472790644,0.4609523392170008,0.8678628550776071,0.8882038484592706,0.8693411955180111,0.8882038484592707,23,0,0,1.609298233349434,1.2073152318337907,3.125,0.6719357320006184,0.8892803405629565,2.342371155473344,4.260869565217392
EXP-045B_phenograph_levine13_full_event_louvain30_20260915,repeat029,29,431.1133132000032,True,Levine_13dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,26,0,0.0,0.884871,multiclass_rectangular_hungarian,167044,81747,24,26,24,2,1.0,0.8694220611227274,0.4596131218663683,0.5187019473171107,0.4596737825655919,0.8639168448299661,0.8829926480482464,0.8647087610087598,0.8829926480482464,24,0,0,1.5841017588048036,1.191463294724589,3.125,0.6822826701983948,0.884167003070449,2.266712654396084,4.041666666666667
EXP-045C_phenograph_levine32_full_event_louvain30_20260915,repeat000,0,250.98429100000067,True,Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,31,0,0.0,0.876117,multiclass_rectangular_hungarian,265627,104184,14,31,30,1,2.142857142857143,0.5708963613029843,0.6641736905485555,0.6206744700265797,0.6148836066914161,0.9299585286823076,0.5923942256008599,0.707816558430592,0.59239422560086,14,16,34300,1.518363040600398,1.2437648167006292,2.5,0.8483873871531468,0.9464505106350304,1.3981517730776436,1.9666666666666663
EXP-045C_phenograph_levine32_full_event_louvain30_20260915,repeat001,1,276.55372389999684,True,Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,31,0,0.0,0.875976,multiclass_rectangular_hungarian,265627,104184,14,31,29,2,2.071428571428572,0.5515029248857491,0.6640637372196542,0.6187329838214431,0.6096089122258326,0.9289348198319138,0.5743492282884128,0.6925352562639355,0.5743492282884128,14,15,35045,1.578298488172522,1.2753617031992657,2.7857142857142856,0.8522879846122093,0.9458554096598326,1.3972261649540554,2.103448275862069
EXP-045C_phenograph_levine32_full_event_louvain30_20260915,repeat002,2,303.6534251999983,True,Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,33,0,0.0,0.875331,multiclass_rectangular_hungarian,265627,104184,14,33,31,2,2.2142857142857144,0.5893063473441209,0.6677320241925903,0.6179408561184803,0.6131448895023303,0.9329210768853224,0.5905321354526606,0.7071556612058137,0.5905321354526607,14,17,36420,1.544963562846693,1.3882872534645654,2.642857142857143,0.848001584978763,0.9455194655609308,1.372657099346321,2.064516129032258
EXP-045C_phenograph_levine32_full_event_louvain30_20260915,repeat003,3,208.41215970000485,True,Levine_32dim,PhenoGraph_v1.5.7_default_Louvain,unavailable,30,all_events_fit_evaluable_reference_labels_only,32,0,0.0,0.875368,multiclass_rectangular_hungarian,265627,104184,14,32,30,2,2.142857142857143,0.5681725938226564,0.6185641829678719,0.5562718896853319,0.5622496186074709,0.925453965280576,0.591981494279352,0.706712824724644,0.5919814942793519,14,16,34313,1.5153319876014522,1.2453455762740533,2.571428571428572,0.872760617801433,0.9470648084158796,1.317447001522518,2.1
