dataset,scheme,source_run,seed,ari,macro_f1,weighted_f1,hungarian_accuracy,median_bmu_distance,runtime_seconds,n_total_events,n_evaluable_events,n_true_populations,n_predicted_clusters_all_events
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,14,0.8456999616904961,0.7361792835417678,0.8918881830297173,0.8405801274667896,2.15704115661292,30.83,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,15,0.7728242578992003,0.7678344006205463,0.8478266651379971,0.7698974890578207,2.15085056535262,31.52,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,16,0.7628581386904265,0.7291546481564497,0.8266622691472146,0.7518812869538509,2.15472513158823,30.72,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,17,0.8226490189435641,0.741078962261158,0.8773929009487337,0.8183406281194809,2.15445765084275,50.9100000000001,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,18,0.8529474301785759,0.787835810645794,0.9030607080660936,0.8526453198187821,2.1532490973633,40.46,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,19,0.8421395531520243,0.7458425722091508,0.8963648655158759,0.8426245872686785,2.15419107781839,31.61,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,20,0.8110253776864447,0.7370088402292962,0.8730493544959663,0.8140117484450587,2.154107081251,31.51,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,21,0.7697311898391997,0.6887606093005835,0.8286987678707933,0.7501727712508639,2.15227015013856,30.72,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,22,0.8083808023995777,0.7882956819029321,0.8684249930485987,0.8122744375335944,2.15462711511203,30.58,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,23,0.8287391110032274,0.7338165185320608,0.8808690807514301,0.8248771404438301,2.15250213808967,31.1899999999999,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,24,0.7706190238353785,0.6779638262423804,0.8126940371648277,0.7356791829839515,2.15294849480333,30.8,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,25,0.8250958121753267,0.7296149598485993,0.8785062442972202,0.8237349305075635,2.15779721510882,30.96,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,26,0.8290214732731933,0.7480078918887366,0.881742948422915,0.8275262996237426,2.15395250071168,31.59,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,27,0.7847294540381349,0.718591148917053,0.8454067219699766,0.7670755586270445,2.15174406756374,30.9400000000001,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,28,0.7920251771837284,0.7243576400920232,0.8643523649495339,0.7943350226522307,2.15361672087756,32.0599999999999,265627,104184,14,40
Levine_32dim,R_full_event,EXP-046B-R1_flowsom_r_levine32_full_event_20260916,29,0.8387694379838231,0.7647343485272982,0.8943099747603356,0.841021653996775,2.15541935698485,31.4400000000001,265627,104184,14,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,0,0.8064285104298218,0.692603910816579,0.8561007629168202,0.7950651646512328,2.3788812160491943,2.826560999994399,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,1,0.7788274833957666,0.687491656335513,0.8364923820227668,0.770353374833092,2.380112886428833,1.7383735999974306,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,2,0.8125896419562583,0.6890784295160155,0.862795558984619,0.8105993643390442,2.3727798461914062,1.7216300000000049,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,3,0.8165083525570125,0.7049067595282308,0.8691413432539219,0.8136272168205668,2.378092050552368,1.7745666000046183,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,4,0.868401775855843,0.6949667385107478,0.877159375596826,0.8337314050363906,2.383616209030152,1.7933546999993268,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,5,0.8633164834415719,0.6909593029023533,0.8668870389675687,0.8328098847159272,2.3869028091430664,1.779171000001952,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,6,0.8598244815614738,0.6789063590937068,0.8691051390679867,0.8233125834540086,2.383127927780152,1.762003300005745,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,7,0.732462320444486,0.6570190707314386,0.795417863050694,0.723600323472439,2.379739761352539,1.7270831999994698,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,8,0.8856295958942387,0.7009689528616189,0.8773655943437092,0.840163240742482,2.385658025741577,1.886235499994655,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,9,0.8131395806865389,0.7195022390086542,0.8609827689960371,0.8030579429409663,2.3830552101135254,1.8704402000003029,86864,53173,24,40
