dataset,k,metric,n,mean,sd,median,q25,q75,min,max
Nilsson_rare,2,lower_bound,30,-4.9257022296188815,5.150419611846833e-07,-4.925702587687273,-4.925702587687273,-4.925701513482095,-4.925702587687273,-4.925701513482095
Nilsson_rare,10,ari,30,0.002581649403428134,0.0010170280367366397,0.00238844537651115,0.002037083575681325,0.003555272249286325,0.0007840781798334,0.0042011367995135
Nilsson_rare,10,target_precision,30,0.06323820633192383,0.01214011275127929,0.0546700804785556,0.0540231804244056,0.07279130086921733,0.0533721494420184,0.0892905314270299
Nilsson_rare,10,target_recall,30,0.9236499068901303,0.0013392829650429312,0.9245810055865922,0.9217877094972068,0.9245810055865922,0.9217877094972068,0.9245810055865922
Nilsson_rare,10,target_f1,30,0.11812363603189378,0.02107985567819254,0.10323586807404135,0.1020817343466758,0.1349575286619041,0.1009020027518728,0.1628536285362853
Nilsson_rare,10,target_f2,30,0.24677762351649546,0.036397636853520376,0.22106458390197115,0.2189443163007218,0.2767906848733711,0.216677609980302,0.3220470908737108
Nilsson_rare,10,lower_bound,30,-0.7201105208920409,0.043679373888400194,-0.7179284031817985,-0.7552311863401509,-0.6992575259785163,-0.7837762436222481,-0.6357695709905328
Nilsson_rare,40,ari,30,0.0010245502322093968,0.0002086674680472287,0.0010106388460335,0.00089666104442005,0.001153835304223675,0.0005948337533989,0.0014867668380516
Nilsson_rare,40,target_precision,30,0.27364745669560353,0.04065443271188743,0.2685232750356227,0.2568342669630981,0.30210704705285285,0.1848691695108077,0.3480333730631704
Nilsson_rare,40,target_recall,30,0.881191806331471,0.023857287691591372,0.8910614525139665,0.8798882681564246,0.895949720670391,0.8156424581005587,0.9106145251396648
Nilsson_rare,40,target_f1,30,0.41540614625276684,0.045569942420356224,0.4126821949457154,0.3988780417580076,0.4488813975348275,0.3071833648393194,0.4878863826232247
Nilsson_rare,40,target_f2,30,0.6057620637488401,0.03536843520410753,0.6087808431211873,0.596974392578925,0.6330216663847017,0.5094043887147336,0.6484570475396164
Nilsson_rare,40,lower_bound,30,0.5210329046835099,0.02259941506818435,0.5254399467932764,0.5123336413096269,0.536846732543441,0.4594136472758348,0.5543796401888246
