dataset,regime,metric,n,mean,sd,median,min,max,q25,q75
Samusik_01,official_fixed_k40,selected_k,30,40.0,0.0,40.0,40.0,40.0,40.0,40.0
Samusik_01,official_fixed_k40,ari,30,0.8628261452293633,0.03340033099928588,0.8709288245384206,0.732462320444486,0.8974644529865582,0.8556079814467158,0.8829464645531429
Samusik_01,official_fixed_k40,macro_precision,30,0.7469666065919197,0.014122494811035405,0.7452297538668968,0.7122006327039276,0.7774522300311952,0.7362082007427984,0.7550421041205877
Samusik_01,official_fixed_k40,macro_recall,30,0.7025121437407498,0.020139118517865495,0.7047359001282638,0.6556194295564604,0.7407978403666023,0.6913536122246358,0.7139035447905846
Samusik_01,official_fixed_k40,macro_f1,30,0.6952428573512263,0.01372557320791772,0.6923055301404675,0.6570190707314386,0.7195022390086542,0.6866055919755336,0.7055142606319917
Samusik_01,official_fixed_k40,hungarian_accuracy,30,0.8333352139870488,0.024681082876179684,0.8379722791642374,0.723600323472439,0.8557538600417505,0.8298290485772855,0.8467643352829444
Samusik_01,official_fixed_ktrue,selected_k,30,24.0,0.0,24.0,24.0,24.0,24.0,24.0
Samusik_01,official_fixed_ktrue,ari,30,0.7707347264652121,0.13302900826945419,0.8505386594394855,0.5726127252296155,0.8946143735720264,0.5937863445178115,0.8693181186322207
Samusik_01,official_fixed_ktrue,macro_precision,30,0.6653319108360284,0.02694919398972315,0.6703740922643653,0.6088959811732259,0.7090569284864872,0.6436258372249947,0.6864991672877424
Samusik_01,official_fixed_ktrue,macro_recall,30,0.6683133269918051,0.024668115066078387,0.6739883340596795,0.6234312726476967,0.7226908409720249,0.648085231691629,0.6840976322025178
Samusik_01,official_fixed_ktrue,macro_f1,30,0.6512922279034147,0.025562488352151067,0.6618414128247463,0.6062429926518154,0.6893953029128914,0.625688165797248,0.6657974418801765
Samusik_01,official_fixed_ktrue,hungarian_accuracy,30,0.8040666002169022,0.10338755237611788,0.8719933048727737,0.6496530193895398,0.894156808906776,0.6665789028266225,0.8812696293231528
