dataset,som_seed,regime,reference_informed_k,selected_k,ari,macro_f1,unit,source_id
Levine_32dim,21,official_fixed_ktrue,True,14,0.6982112482731841,0.4791652956899271,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,21,official_fixed_k40,False,40,0.7356071409590061,0.7216745581548017,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,22,official_auto_max40,False,6,0.6775313121559198,0.29058518219841395,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,22,official_fixed_ktrue,True,14,0.6703686597927455,0.47747847794869774,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,22,official_fixed_k40,False,40,0.8094631426137576,0.7288276112383087,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,23,official_auto_max40,False,7,0.6807405768624778,0.2907311717572129,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,23,official_fixed_ktrue,True,14,0.6792575145889831,0.48086244640809844,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,23,official_fixed_k40,False,40,0.7584211602779366,0.7561388094750565,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,24,official_auto_max40,False,7,0.6813405229223745,0.29029262605140616,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,24,official_fixed_ktrue,True,14,0.6707176723983362,0.4161802096919352,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,24,official_fixed_k40,False,40,0.7648194703949932,0.7329455212922139,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,25,official_auto_max40,False,6,0.6672150629221707,0.28539345579337777,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,25,official_fixed_ktrue,True,14,0.6959005943413947,0.5456580573398019,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,25,official_fixed_k40,False,40,0.7835748552878654,0.7387510014903408,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,26,official_auto_max40,False,6,0.6807860217651251,0.28950877614397186,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,26,official_fixed_ktrue,True,14,0.6852701798021076,0.4759755846463553,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,26,official_fixed_k40,False,40,0.7519956001502903,0.7393405336919529,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,27,official_auto_max40,False,6,0.6690273053484976,0.28722968427991297,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,27,official_fixed_ktrue,True,14,0.6818564879323903,0.48224347483774377,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,27,official_fixed_k40,False,40,0.7825203227433356,0.7461013203163355,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,28,official_auto_max40,False,6,0.6764160860209754,0.28935074525924126,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,28,official_fixed_ktrue,True,14,0.686731304209709,0.5040369066874183,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,28,official_fixed_k40,False,40,0.7659691287890503,0.7067725312438566,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,29,official_auto_max40,False,7,0.6944644384877379,0.3434520155685921,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,29,official_fixed_ktrue,True,14,0.6784047021752108,0.4764433061786093,paired_SOM_seed,flowsom_auto_multiclass_runs
Levine_32dim,29,official_fixed_k40,False,40,0.8049902850482863,0.7294081860270374,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,0,official_auto_max40,False,10,0.4217800032020888,0.31589579006249974,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,0,official_fixed_ktrue,True,24,0.858835083322553,0.6661800540736674,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,0,official_fixed_k40,False,40,0.887448951700102,0.6985642788449478,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,1,official_auto_max40,False,7,0.4093573103435583,0.19985859561209132,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,1,official_fixed_ktrue,True,24,0.5892626679244619,0.6122473420790447,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,1,official_fixed_k40,False,40,0.8952875337591539,0.6864273155177661,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,2,official_auto_max40,False,8,0.4097678394124421,0.24952932009500958,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,2,official_fixed_ktrue,True,24,0.8409265396747112,0.6646496052997038,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,2,official_fixed_k40,False,40,0.8220405214360735,0.6896128749638422,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,3,official_auto_max40,False,7,0.43875639808477374,0.2018560323153553,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,3,official_fixed_ktrue,True,24,0.5795798306464046,0.6361100426996918,paired_SOM_seed,flowsom_auto_multiclass_runs
