dataset,method,regime,label_informed_regime,repeat_type,repeat_id,ari,precision,recall,f1,f2,source_id
Nilsson_rare,GMM,K=40,False,controlled_seed,27,0.0010219745335916,0.29688972667295,0.8798882681564246,0.4439746300211417,0.631768953068592,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,28,0.0012565492734494,0.3219461697722567,0.8687150837988827,0.4697885196374622,0.6484570475396164,gmm_rare_runs
Nilsson_rare,GMM,K=40,False,controlled_seed,29,0.0009693601312533,0.286101083032491,0.8854748603351955,0.4324693042291951,0.6240157480314961,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,0,4.3765204814764905e-05,0.0004670213165706,0.7981651376146789,0.0009334964269619,0.0023296540865345,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,1,4.368887913009415e-05,0.000466973688448,0.7981651376146789,0.0009334012820856,0.0023294170566878,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,2,4.374109949884845e-05,0.0004670062750613,0.7981651376146789,0.0009334663791161,0.0023295792297929,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,3,4.369289570185144e-05,0.0004669761949491,0.7981651376146789,0.0009334062892272,0.0023294295307404,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,4,4.374109949884845e-05,0.0004670062750613,0.7981651376146789,0.0009334663791161,0.0023295792297929,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,5,4.374109949884845e-05,0.0004670062750613,0.7981651376146789,0.0009334663791161,0.0023295792297929,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,6,4.3761187103888017e-05,0.0004670188095851,0.7981651376146789,0.0009334914188533,0.0023296416100769,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,7,4.375315187200541e-05,0.0004670137956948,0.7981651376146789,0.0009334814027972,0.0023296166575624,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,8,4.3765204814764905e-05,0.0004670213165706,0.7981651376146789,0.0009334964269619,0.0023296540865345,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,9,4.369289570185144e-05,0.0004669761949491,0.7981651376146789,0.0009334062892272,0.0023294295307404,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,10,4.369289570185144e-05,0.0004669761949491,0.7981651376146789,0.0009334062892272,0.0023294295307404,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,11,4.3765204814764905e-05,0.0004670213165706,0.7981651376146789,0.0009334964269619,0.0023296540865345,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,12,4.3761187103888017e-05,0.0004670188095851,0.7981651376146789,0.0009334914188533,0.0023296416100769,gmm_rare_runs
