dataset,method,repeat_type,repeat_id,ari,macro_f1,unit,source_id
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,4,0.8448604695306716,0.6724779536387132,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,5,0.8270088875571707,0.657710880715625,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,6,0.8540649914782892,0.672830543146981,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,7,0.8511955798823655,0.6565551722298436,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,8,0.8355110993090569,0.651052266977641,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,9,0.8290448604381069,0.6498873665831332,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,10,0.8301255327169607,0.6571162926321722,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,11,0.8300460975938814,0.6647565063315285,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,12,0.8564358257330758,0.6572049444049016,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,13,0.818048373497978,0.656941320475123,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,14,0.8196995653373103,0.6538216532355633,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,15,0.8209366183240858,0.6611981307610431,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,16,0.8151496232815103,0.6129492797737043,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,17,0.8370666917900452,0.6550211294841416,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,18,0.8265107893798106,0.6642330772289529,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,19,0.8392613079439445,0.6332872622866729,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,20,0.8328256204155563,0.6432907918271068,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,21,0.838240165200352,0.6452145624834001,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,22,0.8101261915418589,0.620562289001418,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,23,0.8338671906928345,0.6543931972826896,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,24,0.8353580994893167,0.6708271832564737,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,25,0.8056901774421381,0.6709325429889939,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,26,0.8219847763576176,0.6407650155205663,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,27,0.8363884898156148,0.6529587449319963,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,28,0.831310110949598,0.6424256715982816,algorithm_run,phenograph_full_run_points
Samusik_01,PhenoGraph_v1.5.7_default_Louvain,native_repeat,29,0.832147640040948,0.6371917714339813,algorithm_run,phenograph_full_run_points
